id,model,n_estimators,lr,mae
1,model1,150,0.05,0.5825203573915799
2,model2,150,0.025,0.5997809779396976
3,model3,150,0.016666666666666666,0.791036914249961
4,model4,150,0.0125,1.2053827664804138
5,model5,150,0.01,1.7395990572816769
6,model6,150,0.008333333333333333,2.229800545041194
7,model7,150,0.0071428571428571435,2.663452655719428
8,model8,150,0.00625,3.0437319685695545
9,model9,150,0.005555555555555556,3.3768182799740307
10,model10,200,0.05,0.5810324053186156
11,model11,200,0.025,0.5859218668377201
12,model12,200,0.016666666666666666,0.6240313852151089
13,model13,200,0.0125,0.7928235383707611
14,model14,200,0.01,1.0863972844696328
15,model15,200,0.008333333333333333,1.4783929406343128
16,model16,200,0.0071428571428571435,1.8704945767505106
17,model17,200,0.00625,2.232679880117312
18,model18,200,0.005555555555555556,2.5628607634147387
19,model19,250,0.05,0.5802848674871495
20,model20,250,0.025,0.5835724295909654
21,model21,250,0.016666666666666666,0.591467483596752
22,model22,250,0.0125,0.6475812726901594
23,model23,250,0.01,0.7940464158828762
24,model24,250,0.008333333333333333,1.0210023409254814
25,model25,250,0.0071428571428571435,1.3171698445478317
26,model26,250,0.00625,1.6403885829669083
27,model27,250,0.005555555555555556,1.9473103972218622
28,model28,300,0.05,0.5800282489611289
29,model29,300,0.025,0.5823750689816518
30,model30,300,0.016666666666666666,0.5860287950861672
31,model31,300,0.0125,0.6007878765811927
32,model32,300,0.01,0.666498180797139
33,model33,300,0.008333333333333333,0.794950924798069
34,model34,300,0.0071428571428571435,0.9794007280425153
35,model35,300,0.00625,1.2118525897344459
36,model36,300,0.005555555555555556,1.4817439926468836
37,model37,350,0.05,0.5798324656438496
38,model38,350,0.025,0.5814956131612796
39,model39,350,0.016666666666666666,0.5842891690287539
40,model40,350,0.0125,0.5894271072122397
41,model41,350,0.01,0.612528628137427
42,model42,350,0.008333333333333333,0.6817671409314651
43,model43,350,0.0071428571428571435,0.795416378403785
44,model44,350,0.00625,0.950665715309479
45,model45,350,0.005555555555555556,1.141011516550368
46,model46,400,0.05,0.5800103318797102
47,model47,400,0.025,0.5807917000402864
48,model48,400,0.016666666666666666,0.583382036290909
49,model49,400,0.0125,0.5859973973190632
50,model50,400,0.01,0.5943701028488888
51,model51,400,0.008333333333333333,0.625296117814017
52,model52,400,0.0071428571428571435,0.6940117558696755
53,model53,400,0.00625,0.7958277576378496
54,model54,400,0.005555555555555556,0.9296061766645352
55,model55,450,0.05,0.579998331962443
56,model56,450,0.025,0.5804282213406232
57,model57,450,0.016666666666666666,0.5826815062719988
58,model58,450,0.0125,0.5845522469113033
59,model59,450,0.01,0.5884771735275112
60,model60,450,0.008333333333333333,0.6010350762703445
61,model61,450,0.0071428571428571435,0.6376606565829063
62,model62,450,0.00625,0.7041110281599063
63,model63,450,0.005555555555555556,0.796148659545256
64,model64,500,0.05,0.5803227970497672
65,model65,500,0.025,0.5801914314755086
